,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
157,Chipmunk 1,Animal,5.41176470588235,1.08411519953864,3.27722772277228,1.66203978220251,368.3210369372829,12.792587710382449,8.58142328882594,4.504358884010106
158,Chipmunk 2,Animal,5.73529411764706,0.932647361416487,4.23,1.71655633655457,271.0507870057155,12.444137032585,8.43395456463498,4.554273580254851
159,Chipmunk 3,Animal,5.52941176470588,0.908767878225174,3.72277227722772,1.64389057957753,528.363260163183,12.24332307781086,8.199512287157415,4.646101221629429
160,City 1,Scene,4.43564356435644,1.04322424803259,3.13592233009709,1.56586469057909,1293.573522568946,13.98930771997919,8.563893172505164,5.785425402595097
161,Clean 1,Object,5.0462962962963,1.07984300744776,2.36538461538462,1.48819100655595,361.28974357738,9.12099333135129,6.761309291169567,3.4057392024376814
162,Cliff diver 1,Person,4.83333333333333,1.26712689224722,4.85148514851485,1.58988137050449,212.1961135541759,11.245954969012239,8.03252706424091,3.818007591284304
163,Cliff diver 2,Person,5.10891089108911,1.05736455491008,4.0873786407767,1.63962451534003,60.233282896620295,10.720172117120088,8.0775324565909,3.2742145879685416
164,Cliff diver 3,Person,5.12037037037037,1.39904902676811,4.75,1.62952134254978,495.12367934992744,12.157604738048452,8.418213809012201,4.631956126133559
165,Cockroach 1,Animal,2.05882352941176,1.17585889747351,4.34653465346535,2.1745603857532,259.03081984583196,12.769386001860418,8.491519128963265,4.484742470212486
166,Cockroach 2,Animal,2.26470588235294,1.29680850123522,4.10891089108911,2.16749159213599,256.15348754714927,12.37661687761263,8.196117455631738,4.597256517440027
167,Cockroach 3,Animal,2.45098039215686,1.30973091469914,3.94059405940594,2.06795445877426,159.07828754313124,12.388463117716872,8.48069617192339,4.327769271492858
168,Cockroach 4,Animal,2.2843137254902,1.23783147160143,3.94059405940594,2.08720761870121,165.1408710798789,4.149249255406184,3.0263674237416813,2.0540704406848582
169,Coffee 1,Object,5.54901960784314,1.09569319782964,3.8019801980198,1.70891662745845,143.53818475861488,12.171638355276754,8.635624590733503,3.878423736876015
170,Cold 1,Object,3.99009900990099,1.05351838621782,3.47572815533981,1.66182429992083,814.423488932752,12.795182178693366,8.291042960023702,5.224656751264487
171,Cold 2,Object,4.73267326732673,0.798637453528331,2.59223300970874,1.56829427263073,308.47225356602917,10.705555961226096,7.759886227333319,3.651648160264531
172,Cold 3,Object,4.88235294117647,1.06514646087291,2.8019801980198,1.58126406384385,209.41646986202971,12.074899547616639,7.927279892857931,4.449717621199037
173,Cold 4,Object,5.06862745098039,1.02696133452303,2.96039603960396,1.63658664346993,59.23435987764998,10.314079738503269,8.05375732056071,3.039744552199005
174,Cold 5,Scene,5.49074074074074,1.03666765166418,3.20192307692308,1.85587394790978,598.2989863191291,13.807894184856835,8.624102149760244,5.422014666256818
175,Cold 6,Person,4.96078431372549,1.09834771160734,4.28712871287129,1.6330133720418,239.3417681723094,10.797550919435388,7.234405274454742,3.95995035744206
176,Cold 7,Person,5.29411764705882,1.14829391564843,3.38613861386139,1.86531657918812,728.9584175487558,11.792803208047365,8.194660011517797,4.277681548368131
177,Cold 8,Object,5.52475247524752,1.16270425651531,3.48543689320388,1.68537002203509,291.14660196709195,11.813586308024595,8.151413982079733,4.375755650324375
